,lat,lng,Temp,Humidity,Cloudiness,Wind_Speed,City,Country
837,-16.4833,-151.75,81.03,64.0,27.0,2.95,faanui,pf
842,38.9342,100.4517,40.84,26.0,80.0,7.99,zhangye,cn
847,-29.9533,-71.3436,60.8,77.0,0.0,11.5,coquimbo,cl
848,-29.7833,151.1167,50.0,89.0,0.0,3.29,inverell,au
850,-24.5333,32.9833,67.03,89.0,0.0,4.65,chokwe,mz
854,63.9333,31.65,36.5,91.0,99.0,11.5,muyezerskiy,ru
861,10.1815,119.236,76.17,89.0,91.0,3.69,caramay,ph
862,26.326,43.975,82.4,36.0,75.0,12.66,buraydah,sa
865,41.1231,80.2644,55.44,30.0,25.0,8.08,aksu,cn
866,-25.4,-70.4833,64.35,76.0,47.0,4.88,taltal,cl
869,-23.6678,-46.4614,70.86,73.0,0.0,8.05,maua,ke
873,11.4272,122.056,78.6,79.0,11.0,3.38,culasi,ph
877,36.0751,32.8369,60.8,88.0,0.0,5.75,anamur,tr
879,56.5389,89.3011,35.22,98.0,100.0,4.45,tyukhtet,ru
881,45.0503,136.6092,38.07,48.0,6.0,3.53,terney,ru
883,-13.8833,167.55,82.35,73.0,54.0,5.35,sola,vu
886,45.3167,55.2,66.09,33.0,65.0,21.18,beyneu,kz
888,-11.2522,-74.6386,79.0,74.0,80.0,2.26,satipo,pe
891,59.2353,163.0719,32.49,94.0,100.0,2.57,ossora,ru
899,18.3851,42.4509,60.78,72.0,40.0,9.89,faya,td
900,50.2334,-63.5986,50.0,40.0,1.0,5.75,havre-saint-pierre,ca
907,-25.2986,152.8535,62.01,88.0,3.0,5.01,hervey bay,au
909,36.6777,-121.6555,59.4,55.0,90.0,11.5,salinas,ec
911,68.5333,146.4167,20.48,78.0,100.0,12.03,belaya gora,ru
912,11.7751,-72.4445,87.01,55.0,20.0,18.99,manaure,co
913,41.1911,40.9875,51.8,87.0,75.0,3.44,ardesen,tr
914,9.2463,118.4082,77.0,88.0,20.0,4.61,panacan,ph
915,-8.7676,160.7034,82.33,82.0,72.0,3.06,auki,sb
919,-34.0363,23.0471,66.2,77.0,40.0,2.3,knysna,za
920,34.6391,-120.4579,56.21,67.0,100.0,12.66,lompoc,us
923,-23.85,151.25,62.6,77.0,0.0,5.75,gladstone,au
924,19.8,75.5333,87.67,19.0,98.0,5.12,pipri,in
925,18.7369,7.3853,92.01,10.0,76.0,6.15,arlit,ne
926,42.2931,123.8414,53.01,58.0,100.0,4.38,tieling,cn
928,38.6989,116.0936,52.93,25.0,100.0,0.81,renqiu,cn
930,4.7416,7.0849,80.6,83.0,20.0,4.14,okrika,ng
933,40.4163,-120.653,46.0,46.0,20.0,10.36,susanville,us
936,-23.8833,24.75,63.34,22.0,0.0,5.37,khudumelapye,bw
939,17.9167,103.0833,80.02,82.0,98.0,5.59,nong khai,th
942,53.6039,91.3903,35.6,69.0,0.0,4.47,belyy yar,ru
945,-2.3167,-78.1167,77.0,73.0,75.0,3.44,macas,ec
947,60.5544,-151.2583,52.52,37.0,1.0,6.91,kenai,us
948,2.8197,-60.6733,84.2,70.0,40.0,4.61,boa vista,br
950,-24.6895,23.494,66.52,27.0,42.0,7.16,khakhea,bw
952,-44.4871,171.2132,46.0,94.0,29.0,11.97,pareora,nz
958,20.7,-105.2,82.4,69.0,75.0,14.97,ixtapa,mx
971,18.8003,110.3967,78.66,89.0,100.0,7.23,wanning,cn
984,64.5667,143.2,13.51,90.0,90.0,3.85,ust-nera,ru
988,6.4,-58.6167,78.8,89.0,75.0,11.5,bartica,gy
992,68.1214,13.5031,35.6,69.0,75.0,3.44,gravdal,no
995,26.8833,-111.9833,85.3,27.0,100.0,3.62,mulege,mx
996,34.1667,77.5833,31.01,36.0,5.0,2.21,leh,in
1001,32.834,-109.7076,86.32,7.0,1.0,13.65,safford,us
1003,-0.1934,-74.7819,79.5,80.0,83.0,2.84,puerto leguizamo,co
1004,48.6499,-53.1147,51.8,46.0,50.0,11.5,bonavista,ca
1017,52.4503,64.6311,49.77,60.0,84.0,9.64,kushmurun,kz
1024,33.5886,119.0192,55.04,89.0,100.0,8.23,huaiyin,cn
1030,-3.0254,-60.1803,85.17,66.0,75.0,6.91,livramento,br
1034,36.6244,-119.3137,64.67,54.0,100.0,1.01,orange cove,us
1037,67.6713,53.087,36.81,91.0,100.0,7.23,naryan-mar,ru
1038,-8.5833,116.1167,73.4,100.0,40.0,3.6,mataram,id
1043,63.7553,121.6247,32.81,99.0,100.0,4.88,vilyuysk,ru
1045,-46.1333,167.6833,48.0,78.0,89.0,14.0,tuatapere,nz
1047,13.5928,-89.8275,90.32,34.0,20.0,4.61,acajutla,sv
1049,-17.5333,146.0333,74.59,93.0,100.0,10.11,innisfail,au
1051,-11.3847,43.2844,80.71,76.0,99.0,8.12,mitsamiouli,km
1052,-28.7667,114.6,64.4,55.0,0.0,6.91,geraldton,au
1054,9.3503,-65.3245,86.31,50.0,96.0,12.28,zaraza,ve
1055,-2.95,25.95,67.73,95.0,61.0,1.54,kindu,cd
1056,40.81,114.8794,52.14,68.0,100.0,6.13,zhangjiakou,cn
1057,36.6167,101.7667,38.14,83.0,2.0,3.27,xining,cn
1060,19.2833,-81.25,84.74,70.0,20.0,6.91,bodden town,ky
1072,4.1363,96.1285,76.39,86.0,82.0,3.56,meulaboh,id
1076,34.0389,-6.8166,62.2,88.0,20.0,8.28,sala,se
1077,34.3623,-92.813,76.64,33.0,1.0,6.91,malvern,us
1079,-41.0667,145.9167,53.01,79.0,79.0,8.01,burnie,au
1081,65.8167,87.9833,2.66,97.0,36.0,4.7,turukhansk,ru
1082,49.2167,143.1167,32.67,60.0,71.0,2.64,poronaysk,ru
1085,22.4833,103.95,77.92,96.0,100.0,1.23,lao cai,vn
1092,61.2767,108.0108,28.33,96.0,100.0,7.47,yerbogachen,ru
1096,45.7667,130.5167,43.09,33.0,90.0,2.66,boli,cn
1101,31.3271,-89.2903,77.16,43.0,1.0,5.75,hattiesburg,us
1102,4.7263,-52.3274,81.73,78.0,75.0,10.36,roura,gf
1103,-15.89,-52.2567,86.0,45.0,0.0,3.31,barra do garcas,br
1105,56.3491,78.3619,39.74,73.0,100.0,6.85,severnoye,ru
1109,10.2849,22.7882,76.08,65.0,98.0,8.5,birao,cf
1116,-17.7125,-39.2481,76.96,80.0,5.0,7.78,caravelas,br
1117,48.1482,17.1067,42.58,49.0,0.0,4.61,bratislava,sk
1119,47.7658,142.0683,34.74,65.0,59.0,5.75,tomari,ru
1123,27.9117,-15.5407,66.4,72.0,20.0,6.91,santa lucia,es
1131,-32.3667,-54.1833,60.91,66.0,39.0,9.75,melo,uy
1132,48.8002,-79.1996,26.51,79.0,100.0,15.46,la sarre,ca
1133,63.4453,120.3167,32.16,98.0,100.0,4.52,verkhnevilyuysk,ru
1138,51.6708,82.7289,39.4,61.0,97.0,5.66,krasnoshchekovo,ru
1143,56.2389,43.4631,41.0,52.0,20.0,15.66,dzerzhinsk,by
1145,-21.0415,-57.8738,71.49,71.0,100.0,6.06,fuerte olimpo,py
1146,68.3065,-53.4641,36.05,73.0,37.0,2.75,kangaatsiaq,gl
1147,-11.0964,-77.6139,69.08,81.0,20.0,8.61,hualmay,pe
1151,3.5167,15.05,70.83,88.0,51.0,0.09,yokadouma,cm
1154,59.6425,-151.5483,50.32,54.0,40.0,3.44,homer,us
1158,-19.8436,34.8389,75.2,88.0,0.0,9.19,beira,mz
1160,62.8,43.25,40.64,93.0,100.0,5.19,rochegda,ru
1162,41.2894,141.2169,41.18,45.0,20.0,4.61,mutsu,jp
1169,-34.0033,24.7314,70.03,42.0,100.0,5.99,kruisfontein,za
1170,37.6138,-122.4869,51.76,76.0,90.0,19.57,pacifica,us
1180,-7.5061,-63.0208,79.29,88.0,78.0,2.55,humaita,br
1181,60.7167,-46.0333,50.0,32.0,75.0,25.32,qaqortoq,gl
1182,37.7167,-25.4333,59.0,77.0,75.0,11.5,vila franca do campo,pt
1189,51.1494,-100.0502,51.8,13.0,1.0,4.61,dauphin,ca
1190,36.9559,36.2,69.01,71.0,100.0,1.36,erzin,ru
1193,-7.6331,109.2461,76.91,83.0,43.0,1.23,kroya,id
1194,51.1667,94.5,28.15,63.0,65.0,4.83,bay-khaak,ru
1195,41.7057,-70.2286,47.14,87.0,90.0,18.41,yarmouth,ca
1197,65.3718,58.0387,39.78,86.0,100.0,4.74,synya,ru
1200,49.0601,20.2069,30.56,64.0,0.0,4.61,svit,sk
1202,-14.4667,132.2667,71.6,78.0,75.0,4.61,katherine,au
1204,49.2361,135.1742,38.14,36.0,100.0,2.91,litovko,ru
1205,21.5028,-158.0236,77.85,57.0,75.0,12.66,wahiawa,us
1206,21.3906,-158.1547,78.89,51.0,90.0,11.5,nanakuli,us
1212,66.8333,70.8333,33.37,91.0,100.0,12.48,yar-sale,ru
1221,6.1241,81.1185,78.8,100.0,20.0,2.3,hambantota,lk
1223,8.8667,5.4167,76.28,83.0,100.0,10.96,lafiagi,ng
1226,41.7597,86.1469,47.86,26.0,7.0,3.67,korla,cn
1230,-1.9417,-54.7383,82.4,83.0,20.0,6.91,alenquer,br
1232,-5.6667,132.75,83.41,63.0,100.0,6.69,tual,id
1233,-3.4833,23.4333,68.83,98.0,98.0,1.92,lodja,cd
1234,-3.2778,-39.2689,77.02,82.0,16.0,6.02,trairi,br
1235,46.4154,3.9054,59.67,41.0,0.0,8.05,saint-francois,gp
1239,34.4506,40.9171,83.89,18.0,66.0,12.71,abu kamal,sy
