,lat,lng,Temp,Humidity,Cloudiness,Wind_Speed,City,Country
125,-33.918,25.5701,59.0,88.0,40.0,5.75,port elizabeth,za
128,34.6884,32.9574,64.4,94.0,0.0,8.05,ypsonas,cy
130,41.1667,-4.0,47.75,94.0,100.0,2.08,segovia,es
131,-45.5752,-72.0662,57.2,58.0,40.0,8.05,coihaique,cl
135,1.49,-77.5835,54.03,89.0,87.0,4.32,la llanada,co
136,-0.6,73.0833,82.11,69.0,94.0,4.16,hithadhoo,mv
138,37.4636,-122.4286,52.63,93.0,90.0,11.5,half moon bay,us
141,65.441,52.1498,41.58,83.0,100.0,8.68,ust-tsilma,ru
142,13.2167,80.3167,82.4,78.0,40.0,3.44,kattivakkam,in
143,-9.8,-139.0333,79.99,73.0,44.0,15.03,atuona,pf
147,41.1415,-73.3579,57.2,62.0,75.0,12.66,westport,ie
148,-34.4187,19.2345,62.01,88.0,100.0,3.0,hermanus,za
149,71.2906,-156.7887,15.8,92.0,1.0,18.41,barrow,us
151,40.925,-98.342,75.92,35.0,1.0,17.27,grand island,us
152,43.3236,145.575,32.97,62.0,17.0,18.25,nemuro,jp
154,13.6017,26.6876,83.12,14.0,9.0,11.92,umm kaddadah,sd
155,39.3558,-9.3811,58.68,90.0,15.0,5.99,peniche,pt
156,21.3469,-158.0858,80.29,51.0,90.0,11.5,makakilo city,us
157,65.6145,-37.6368,37.4,81.0,75.0,19.57,tasiilaq,gl
160,-33.6971,-53.4616,62.76,76.0,96.0,12.68,chuy,uy
162,14.4,46.4667,68.86,75.0,69.0,6.78,marzuq,ly
164,-31.4707,19.776,64.27,42.0,100.0,4.07,calvinia,za
166,-46.2817,169.8464,43.0,63.0,78.0,5.99,kaitangata,nz
167,5.2767,115.2417,77.0,100.0,40.0,3.47,labuan,my
172,-10.7081,-48.4172,75.2,88.0,75.0,5.75,porto nacional,br
174,42.8,93.45,39.52,20.0,74.0,6.93,hami,cn
176,50.6996,-127.4199,51.8,87.0,90.0,5.75,port hardy,ca
177,45.5234,-122.6762,57.07,51.0,75.0,4.61,portland,au
179,-40.8135,-62.9967,60.12,49.0,10.0,6.42,viedma,ar
182,22.0333,96.4667,72.27,54.0,1.0,1.32,maymyo,mm
184,45.1582,33.2787,46.99,39.0,100.0,8.14,zaozerne,ua
185,-38.0023,-57.5575,61.88,67.0,40.0,10.36,mar del plata,ar
186,49.71,72.5872,30.2,74.0,0.0,6.71,shakhtinsk,kz
187,-37.8333,140.7667,51.8,93.0,90.0,1.14,mount gambier,au
188,61.4732,-6.8119,45.39,90.0,100.0,11.81,vagur,fo
189,-3.4167,114.85,78.8,94.0,90.0,3.44,martapura,id
190,-38.2667,141.9667,56.01,77.0,100.0,4.45,codrington,ag
191,33.816,-78.68,73.36,43.0,1.0,10.36,north myrtle beach,us
193,38.8876,-76.5119,64.67,45.0,75.0,14.97,mayo,ca
194,51.226,-58.6502,46.35,51.0,79.0,2.24,saint-augustin,ca
195,60.7161,-135.0538,53.69,20.0,1.0,12.66,whitehorse,ca
198,77.484,-69.3632,30.07,74.0,18.0,6.13,qaanaaq,gl
202,-6.495,-43.7022,73.35,88.0,72.0,1.7,sao joao dos patos,br
203,15.7432,-96.4661,87.91,62.0,90.0,11.5,pochutla,mx
206,18.9048,-3.5265,91.85,12.0,56.0,6.55,araouane,ml
209,-8.4333,114.3333,74.48,83.0,88.0,2.06,muncar,id
212,5.5577,95.3222,79.56,76.0,94.0,7.05,banda aceh,id
214,-33.8667,121.9,59.0,58.0,0.0,17.27,esperance,au
216,40.1629,-8.3327,56.55,90.0,98.0,3.24,lata,sb
217,12.1791,125.5072,77.85,82.0,100.0,9.6,san policarpo,ph
218,-28.65,153.6167,57.9,94.0,90.0,2.3,byron bay,au
223,68.0546,166.4372,19.9,86.0,99.0,3.2,bilibino,ru
